loss,id
1577.63573432,4
2026.16216884,6
9166.93754138,9
5471.87271287,12
854.616922059,15
2297.32227149,17
1937.50711107,21
929.137127337,28
2431.24228858,32
3111.48918222,43
2585.53306186,46
1016.61021066,50
1224.25743349,54
1752.73264706,62
2208.83871869,70
5376.61261254,71
2010.76026026,75
2288.14946499,77
2562.73961261,81
2348.91893393,83
1951.15035048,87
1812.39755278,97
1336.93071955,103
1227.23416302,119
1991.50420372,120
1042.73046802,127
3895.00155344,138
3207.12480586,141
1309.0676221,148
2510.86567091,150
2229.64216111,151
1694.01780109,158
5966.63815051,160
2716.59736345,165
3537.05202838,168
3148.2715275,169
2709.68990397,177
3670.20821435,178
1959.53812389,184
9275.34187744,194
1719.29705275,198
3642.72668992,203
2652.24291767,211
1220.04656249,217
1488.86049523,219
4551.4165313,221
1813.39015852,227
1589.81354194,230
1933.10186261,235
720.849142945,240
3150.77072328,243
7212.92989153,249
2884.0646264,253
1447.31734947,258
1546.59651991,261
3513.08107788,263
2472.56117098,264
4570.60215721,265
1635.02537822,268
1248.37496257,271
5412.95789217,274
748.554476642,275
1798.34424699,279
1519.06698114,282
2956.14191397,286
1260.88367783,288
2379.03565924,294
1028.25917252,296
1519.11664655,297
871.213329347,300
8493.65284127,303
1171.88409139,314
4547.52947697,315
2433.85177554,321
4160.9997405,323
3817.96959133,330
1832.66233711,341
4309.36375082,342
1595.07204761,352
3537.35081117,353
5214.08949091,360
2382.84838128,361
4180.60697056,362
1289.48982611,366
3528.32539972,372
2605.55680685,376
2274.11326769,377
1565.10716802,379
3853.44806186,380
1701.16294689,387
1993.63332076,392
8619.58021495,394
1634.74271579,395
1605.32982941,397
5490.76535178,407
8358.12696975,411
2380.59119355,416
1531.59374632,417
3642.04052083,419
5383.14769835,428
1898.65864398,431
8796.42929495,436
1570.90355288,438
6717.39017289,445
8322.36736908,446
1263.71578033,455
1193.19621401,456
950.312676765,461
1799.98128253,463
3655.92464064,464
1936.00970075,466
1510.50733818,467
1328.75700052,470
1421.51407298,475
2958.75155309,482
3181.57053426,490
1690.33581287,496
3928.95543718,497
2997.47450172,508
1721.62461566,510
1805.15461622,512
3193.72824238,513
1842.32472846,523
5328.01188025,531
2043.62535212,532
1362.30281138,533
1140.34641888,537
4894.66787621,544
2938.15456891,547
8194.43924612,556
1316.41389628,565
1196.98768303,566
1547.62889658,571
1538.15219348,573
868.336087612,574
1804.70659087,581
2146.92365738,585
2169.93831796,589
1802.87390269,597
3595.82493662,601
1672.78597404,602
1702.43989775,613
1398.73000347,616
2318.69779933,619
2250.68417141,622
1959.9288405,623
1600.22009662,629
1523.01915263,634
1024.41681089,638
1058.57513583,642
2034.22118895,643
1053.63131207,645
6300.10846671,648
1350.22400468,652
1124.52577147,664
2144.30945812,666
883.215926595,672
1751.51446208,676
3859.14700539,678
1659.93279498,682
2772.70281359,686
2393.79727908,688
1334.72290034,689
1666.54265858,690
11459.160232,692
1571.58792283,695
3556.85084834,697
1894.79109004,698
2369.17927032,706
1580.76256387,708
2891.95645715,712
4437.49252777,715
1305.57865141,717
3212.16813857,725
1191.24967617,729
1269.57556141,737
6395.30566737,739
3674.28305799,747
2619.14314986,753
2254.27620458,758
2095.03032918,759
1516.74049873,763
5048.37769902,773
2321.50387251,774
1338.24720893,776
3168.44164307,788
2739.17214536,790
1150.25542086,794
2626.79427498,801
1541.65001691,802
1260.15116284,805
5149.83978683,809
1582.67259982,812
2612.87348374,825
2374.05504624,828
1550.89774603,830
1295.18064549,833
6249.92728563,850
6002.34383572,852
1359.86874716,862
1480.72746343,863
1444.53002355,864
3373.06414398,865
6363.0760099,868
1581.49489832,872
5717.62185928,879
1407.11280824,880
1293.25514905,883
1558.94371044,886
1835.20121536,923
1447.74394442,924
1422.36347218,932
6000.28771345,945
6631.13047041,947
2042.12492972,948
3410.06353703,955
4362.45832542,963
1324.96007616,979
1496.83208809,989
3140.64120095,994
1701.26538401,995
1397.90987851,998
3726.83658704,1000
1626.84157114,1018
2156.55355736,1019
1734.48123176,1028
1360.32472954,1034
1559.10136883,1038
1392.84038439,1040
1398.56905763,1042
6871.67150158,1057
2174.57105924,1058
1094.03581543,1063
4449.24787136,1066
4042.48060215,1071
4388.09135344,1073
2479.34073636,1074
2917.49526674,1077
8750.70403558,1080
1014.17483345,1088
866.380502748,1096
12206.9006709,1097
5707.96260869,1105
1840.90011047,1115
2302.322821,1116
2393.08846764,1122
4904.04157612,1130
1059.88186715,1133
2104.02703591,1137
2019.13066994,1140
8070.45120062,1143
4974.7838565,1149
901.049903052,1150
760.8589015,1153
1329.87964623,1157
660.896419878,1180
846.770393518,1183
1546.85290144,1188
1069.83705498,1193
806.656940663,1200
3765.04170566,1209
1946.75967783,1214
2000.97186759,1219
5600.17935871,1223
844.951626729,1227
1559.59593864,1228
4061.28073174,1229
1052.20190494,1233
7449.86398934,1238
1803.26296022,1239
3339.3523851,1241
1847.30949038,1243
1221.67738183,1244
3752.47100781,1245
4297.26482299,1277
3336.42806247,1279
10591.4619131,1292
1407.00743966,1293
9174.987608,1299
2960.11050678,1304
3299.40528471,1313
2280.51167395,1328
949.592012399,1330
1605.78859989,1334
1203.33253549,1335
4937.35232155,1336
1117.72668075,1341
1204.81727029,1344
1032.81574639,1351
2453.22340422,1352
1495.14643083,1354
4109.62280298,1368
1358.12438452,1373
759.073458042,1375
1589.21355834,1381
3338.6679793,1384
3926.61269378,1385
5479.56506914,1388
5130.52612249,1401
2566.03027683,1402
1450.183776,1404
1418.49233731,1406
1014.6189605,1409
1416.00119815,1422
2786.80367378,1429
